file_name,caption
claude-monet_women-in-the-garden.jpg, a painting of a group of women in dresses
claude-monet_banks-of-the-seine-at-lavacourt.jpg, a painting of a person sitting under a tree
claude-monet_villas-at-bordighera-02.jpg, a painting of a view of a building and a garden
claude-monet_impression-sunrise.jpg, a painting of people in a boat on a body of water
claude-monet_water-lilies-13.jpg, a painting of water lilies in a pond of water
claude-monet_the-headland-of-the-heve-at-low-tide.jpg, a painting of people on a beach near the ocean
claude-monet_the-garden-at-vetheuil-1881.jpg, a painting of a garden with sunflowers and a lighthouse
claude-monet_water-lilies-16.jpg, a painting of water lilies in a pond of water
claude-monet_villas-at-bordighera-1884.jpg, a painting of a garden with a building in the background
claude-monet_woman-with-a-parasol-also-known-as-study-of-a-figure-outdoors-facing-left.jpg, a painting of a woman holding a green umbrella
